file,header,seq_len,query_len,edits,re_time,re_mem,shiftor_time,shiftor_mem,levenshtein_time,levenshtein_mem
dna_high_gc_len100_0.fasta,dna|high_gc|len100|i0,100,50,5,0.00043890002416446805,63467520,0.0016709999763406813,63467520,0.011981600022409111,63467520
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,0,0.000206699944101274,63467520,0.00771019997773692,63467520,0.021735599962994456,63467520
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,1,0.00018999999156221747,63467520,0.009404999960679561,63467520,0.02708359999815002,63467520
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,2,0.0004013000288978219,63467520,0.014754000003449619,63467520,0.029274400032591075,63467520
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,3,0.00018929998623207211,63467520,0.011358799994923174,63467520,0.046755600022152066,63467520
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,4,0.00020279997261241078,63471616,0.0076700999634340405,63471616,0.033975700032897294,63471616
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,5,0.00019350001821294427,63471616,0.012481699988711625,63471616,0.04719660000409931,63471616
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,0,0.0009021000005304813,63471616,0.008973399992100894,63475712,0.028038499993272126,63475712
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,1,0.00019300001440569758,63479808,0.011503399990033358,63479808,0.028373099979944527,63479808
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,2,0.00018780003301799297,63479808,0.0075804999796673656,63479808,0.03398309997282922,63479808
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,3,0.0002536000101827085,63479808,0.014409499999601394,63479808,0.04057930002454668,63479808
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,4,0.000172999978531152,63479808,0.009125899989157915,63479808,0.04386930004693568,63479808
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,5,0.0003443000023253262,63479808,0.015015400014817715,63479808,0.0373923999723047,63479808
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,0,0.00018610002007335424,63479808,0.009196900005917996,63479808,0.02548980002757162,63479808
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,1,0.00023519998649135232,63483904,0.008472400018945336,63483904,0.026399700029287487,63483904
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,2,0.00018099998123943806,63483904,0.007650200044736266,63483904,0.028250399976968765,63483904
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,3,0.00018889998318627477,63483904,0.007492300006560981,63483904,0.0391055999789387,63483904
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,4,0.0001876000314950943,63483904,0.00930289999814704,63483904,0.033676400023978204,63483904
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,20,5,0.0002669000532478094,63488000,0.01354620000347495,63488000,0.035928199999034405,63488000
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,0,0.000304599991068244,63492096,0.007990000012796372,63492096,0.05724930000724271,63492096
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,1,0.0002597999991849065,63492096,0.00798419996863231,63492096,0.0633448000298813,63492096
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,2,0.00022840005112811923,63492096,0.01089279999723658,63492096,0.06504759995732456,63492096
dna_high_gc_len500_0.fasta,dna|high_gc|len500|i0,500,50,3,0.0002251000260002911,63492096,0.00794879999011755,63492096,0.08040439995238557,63492096
