pattern_name,category,algorithm,pattern_length,preprocessing_time_ms,search_time_ms,cpu_time_ms,total_time_ms,total_time_with_preprocessing_ms,matches_count,comparisons,hash_verifications,peak_memory_kb,throughput_bp_per_ms
avg_long_0,average,kmp,271,0.0,192.46687498525716,191.44299999999959,192.46687498525716,192.46687498525716,1,,,3.7,2597.8496
avg_long_0,average,boyer_moore,271,0.0,214.30266698007472,163.3780000000007,214.30266698007472,214.30266698007472,1,,,14.01,2333.1488
avg_long_0,average,rabin_karp,271,0.0,153.4935410018079,149.06299999999993,153.4935410018079,153.4935410018079,1,,,0.59,3257.4661
avg_long_0,average,suffix_tree,271,23.088236114134602,0.2275420119985938,0.21700000000013375,0.2275420119985938,23.315778126133196,1,,,1.53,2197396.4087
avg_long_0,average,regex,271,0.0,2.634457981912419,2.627000000000379,2.634457981912419,2.634457981912419,1,,,32.64,189792.3609
avg_long_1,average,kmp,299,0.0,189.7530830174219,188.64000000000036,189.7530830174219,189.7530830174219,1,,,2.58,2635.0033
avg_long_1,average,boyer_moore,299,0.0,225.04945800756104,224.02899999999983,225.04945800756104,225.04945800756104,1,,,13.2,2221.7339
avg_long_1,average,rabin_karp,299,0.0,147.60470899636857,146.81999999999994,147.60470899636857,147.60470899636857,1,,,0.65,3387.4258
avg_long_1,average,suffix_tree,299,23.088236114134602,0.2615420089568943,0.26199999999931833,0.2615420089568943,23.349778123091497,1,,,0.17,1911738.7757
avg_long_1,average,regex,299,0.0,2.704082988202572,2.704000000000484,2.704082988202572,2.704082988202572,1,,,19.37,184905.5677
avg_long_2,average,kmp,269,0.0,189.7861249744892,188.89599999999973,189.7861249744892,189.7861249744892,1,,,2.34,2634.5445
avg_long_2,average,boyer_moore,269,0.0,151.34570898953825,150.63099999999974,151.34570898953825,151.34570898953825,1,,,11.91,3303.6946
avg_long_2,average,rabin_karp,269,0.0,147.68679201370105,146.91300000000052,147.68679201370105,147.68679201370105,1,,,0.59,3385.5431
avg_long_2,average,suffix_tree,269,23.088236114134602,0.227333017392084,0.22699999999975518,0.227333017392084,23.315569131526686,1,,,0.17,2199416.5464
avg_long_2,average,regex,269,0.0,2.3229169892147183,2.322999999999631,2.3229169892147183,2.3229169892147183,1,,,16.22,215246.6069
avg_long_3,average,kmp,197,0.0,193.9032080117613,193.08799999999948,193.9032080117613,193.9032080117613,1,,,1.73,2578.6061
avg_long_3,average,boyer_moore,197,0.0,116.9482919794973,116.20899999999956,116.9482919794973,116.9482919794973,1,,,3.21,4275.3938
avg_long_3,average,rabin_karp,197,0.0,148.26258399989456,147.59999999999974,148.26258399989456,148.26258399989456,1,,,0.45,3372.395
avg_long_3,average,suffix_tree,197,23.088236114134602,0.11712501873262227,0.11699999999947863,0.11712501873262227,23.205361132867225,1,,,0.14,4268942.7537
avg_long_3,average,regex,197,0.0,2.4282919766847044,2.403000000000155,2.4282919766847044,2.4282919766847044,1,,,11.93,205906.0462
avg_long_4,average,kmp,166,0.0,192.35070899594575,191.5370000000003,192.35070899594575,192.35070899594575,1,,,1.48,2599.4185
avg_long_4,average,boyer_moore,166,0.0,108.6859579954762,108.0400000000008,108.6859579954762,108.6859579954762,1,,,2.72,4600.4103
avg_long_4,average,rabin_karp,166,0.0,148.69175001513213,147.90600000000074,148.69175001513213,148.69175001513213,1,,,0.39,3362.6613
avg_long_4,average,suffix_tree,166,23.088236114134602,0.1200829865410924,0.11999999999900979,0.1200829865410924,23.208319100675695,1,,,0.14,4163787.1809
avg_long_4,average,regex,166,0.0,2.1085829939693213,2.1020000000007144,2.1085829939693213,2.1085829939693213,1,,,10.16,237126.0707
avg_long_5,average,kmp,285,0.0,195.2147920092102,194.28200000000118,195.2147920092102,195.2147920092102,1,,,2.47,2561.2813
avg_long_5,average,boyer_moore,285,0.0,142.5790829816833,142.05100000000039,142.5790829816833,142.5790829816833,1,,,12.59,3506.8258
avg_long_5,average,rabin_karp,285,0.0,148.56379097909667,147.7459999999997,148.56379097909667,148.56379097909667,1,,,0.62,3365.5576
avg_long_5,average,suffix_tree,285,23.088236114134602,0.24699998903088272,0.2460000000006346,0.24699998903088272,23.335236103165485,1,,,0.17,2024291.5879
avg_long_5,average,regex,285,0.0,2.690916007850319,2.663000000000082,2.690916007850319,2.690916007850319,1,,,17.04,185810.3332
avg_long_6,average,kmp,188,0.0,189.76529099745676,188.917,189.76529099745676,189.76529099745676,1,,,1.66,2634.8338
avg_long_6,average,boyer_moore,188,0.0,167.15391699108295,166.3580000000007,167.15391699108295,167.15391699108295,1,,,3.07,2991.2551
avg_long_6,average,rabin_karp,188,0.0,148.15562500734814,147.27399999999946,148.15562500734814,148.15562500734814,1,,,0.43,3374.8297
avg_long_6,average,suffix_tree,188,23.088236114134602,0.12491701636463404,0.12400000000134526,0.12491701636463404,23.213153130499236,1,,,0.14,4002657.2404
avg_long_6,average,regex,188,0.0,2.299167012097314,2.2999999999999687,2.299167012097314,2.299167012097314,1,,,11.44,217470.0652
avg_long_7,average,kmp,217,0.0,189.8156669922173,188.89399999999944,189.8156669922173,189.8156669922173,1,,,1.88,2634.1345
avg_long_7,average,boyer_moore,217,0.0,116.30187497939914,115.66999999999972,116.30187497939914,116.30187497939914,1,,,3.52,4299.1568
avg_long_7,average,rabin_karp,217,0.0,148.54145800927654,147.71299999999954,148.54145800927654,148.54145800927654,1,,,0.49,3366.0636
avg_long_7,average,suffix_tree,217,23.088236114134602,0.1307500060647726,0.13099999999965917,0.1307500060647726,23.218986120199375,1,,,0.14,3824091.6008
