pattern_name,category,algorithm,pattern_length,preprocessing_time_ms,search_time_ms,cpu_time_ms,total_time_ms,total_time_with_preprocessing_ms,matches_count,comparisons,hash_verifications,peak_memory_kb,throughput_bp_per_ms,size_category,speedup_vs_regex
avg_long_0,average,kmp,271,0.0,192.46687498525716,191.4429999999996,192.46687498525716,192.46687498525716,1,,,3.7,2597.8496,vlarge,0.013687851388007505
avg_long_0,average,boyer_moore,271,0.0,214.30266698007472,163.3780000000007,214.30266698007472,214.30266698007472,1,,,14.01,2333.1488,vlarge,0.012293164705026111
avg_long_0,average,rabin_karp,271,0.0,153.4935410018079,149.06299999999993,153.4935410018079,153.4935410018079,1,,,0.59,3257.4661,vlarge,0.017163314916823696
avg_long_0,average,suffix_tree,271,23.0882361141346,0.2275420119985938,0.2170000000001337,0.2275420119985938,23.315778126133196,1,,,1.53,2197396.4087,vlarge,0.11299035218385528
avg_long_0,average,regex,271,0.0,2.634457981912419,2.627000000000379,2.634457981912419,2.634457981912419,1,,,32.64,189792.3609,vlarge,1.0
avg_long_1,average,kmp,299,0.0,189.7530830174219,188.64000000000036,189.7530830174219,189.7530830174219,1,,,2.58,2635.0033,vlarge,0.014250535196597046
avg_long_1,average,boyer_moore,299,0.0,225.04945800756104,224.02899999999983,225.04945800756104,225.04945800756104,1,,,13.2,2221.7339,vlarge,0.01201550544552621
avg_long_1,average,rabin_karp,299,0.0,147.60470899636857,146.81999999999994,147.60470899636857,147.60470899636857,1,,,0.65,3387.4258,vlarge,0.018319760979096534
avg_long_1,average,suffix_tree,299,23.0882361141346,0.2615420089568943,0.2619999999993183,0.2615420089568943,23.349778123091497,1,,,0.17,1911738.7757,vlarge,0.11580765238742889
avg_long_1,average,regex,299,0.0,2.704082988202572,2.704000000000484,2.704082988202572,2.704082988202572,1,,,19.37,184905.5677,vlarge,1.0
avg_long_2,average,kmp,269,0.0,189.7861249744892,188.89599999999973,189.7861249744892,189.7861249744892,1,,,2.34,2634.5445,vlarge,0.012239656558280862
avg_long_2,average,boyer_moore,269,0.0,151.34570898953825,150.63099999999974,151.34570898953825,151.34570898953825,1,,,11.91,3303.6946,vlarge,0.015348416580316061
avg_long_2,average,rabin_karp,269,0.0,147.68679201370105,146.91300000000052,147.68679201370105,147.68679201370105,1,,,0.59,3385.5431,vlarge,0.015728671180014656
avg_long_2,average,suffix_tree,269,23.0882361141346,0.227333017392084,0.2269999999997551,0.227333017392084,23.315569131526686,1,,,0.17,2199416.5464,vlarge,0.09962943542620765
avg_long_2,average,regex,269,0.0,2.3229169892147183,2.322999999999631,2.3229169892147183,2.3229169892147183,1,,,16.22,215246.6069,vlarge,1.0
avg_long_3,average,kmp,197,0.0,193.9032080117613,193.08799999999948,193.9032080117613,193.9032080117613,1,,,1.73,2578.6061,large,0.012523217132835754
avg_long_3,average,boyer_moore,197,0.0,116.9482919794973,116.20899999999956,116.9482919794973,116.9482919794973,1,,,3.21,4275.3938,large,0.020763808821683508
